id,code,campus_id
823,R503,1
818,R504,1
819,R505,1
820,R506,1
821,R507,1
822,R508,1
1095,R602,1
1096,R603,1
1093,R604,1
1088,R605,1
1089,R606,1
1092,R607,1
1090,R608,1
1091,R609,1
1087,R610,1
1081,R612,1
1082,R613,1
1083,R614,1
1084,R615,1
1085,R616,1
1631,S001,1
1616,S002,1
1399,S1005,1
1617,S003,1
1634,S004,1
1628,S005,1
1635,S006,1
1648,S008,1
1636,S009,1
1646,S010,1
1645,S011,1
1390,S1017,1
1397,S1018,1
1630,S012,1
1629,S013,1
1641,S014,1
1649,S015,1
1627,S016,1
1395,S1001,1
1381,S1002,1
1367,S1003,1
1382,S1004,1
1373,S1006,1
1374,S1007,1
1379,S1008,1
1396,S1009,1
154,S101,1
1377,S1010,1
1383,S1011,1
1400,S1012,1
1380,S1013,1
1368,S1014,1
1387,S1015,1
1388,S1016,1
1398,S1019,1
147,S102,1
1402,S1020,1
1401,S1021,1
1403,S1022,1
1404,S1023,1
1389,S1024,1
1394,S1025,1
1393,S1026,1
1362,S1027,1
1372,S1028,1
1364,S1029,1
143,S103,1
1365,S1030,1
1385,S1031,1
1376,S1032,1
1378,S1033,1
1386,S1034,1
1375,S1035,1
1384,S1036,1
1369,S1037,1
1366,S1038,1
1363,S1039,1
155,S104,1
1371,S1040,1
1370,S1041,1
1392,S1042,1
1391,S1043,1
144,S106,1
146,S107,1
156,S108,1
150,S109,1
153,S110,1
151,S111,1
149,S112,1
152,S113,1
145,S114,1
148,S115,1
393,S201,1
395,S202,1
394,S205,1
384,S210,1
371,S206,1
365,S231,1
372,S227,1
520,S301,1
521,S302,1
497,S303,1
518,S332,1
370,S226,1
366,S224,1
382,S209,1
392,S222,1
363,S228,1
352,S214,1
351,S215,1
353,S216,1
354,S217,1
386,S218,1
387,S221,1
355,S223,1
379,S225,1
360,S229,1
356,S230,1
383,S220,1
523,S304,1
502,S305,1
751,S403,1
524,S306,1
525,S307,1
505,S308,1
504,S309,1
515,S310,1
498,S311,1
511,S312,1
517,S313,1
522,S314,1
512,S315,1
508,S316,1
513,S317,1
514,S318,1
510,S319,1
516,S320,1
519,S321,1
501,S322,1
495,S323,1
496,S324,1
507,S325,1
503,S326,1
509,S327,1
506,S328,1
499,S329,1
494,S330,1
500,S331,1
749,S401,1
732,S402,1
729,S434,1
717,S404,1
753,S405,1
723,S406,1
724,S407,1
730,S408,1
750,S409,1
727,S410,1
733,S411,1
731,S412,1
715,S413,1
741,S414,1
718,S415,1
738,S416,1
740,S417,1
744,S418,1
752,S419,1
708,S420,1
707,S421,1
709,S422,1
710,S423,1
742,S424,1
737,S425,1
739,S426,1
743,S427,1
748,S428,1
747,S429,1
711,S430,1
722,S431,1
713,S432,1
714,S433,1
735,S435,1
726,S436,1
728,S437,1
736,S438,1
725,S439,1
734,S440,1
719,S441,1
716,S442,1
712,S443,1
721,S444,1
720,S445,1
746,S446,1
745,S447,1
916,S501,1
903,S502,1
918,S503,1
889,S504,1
920,S505,1
895,S506,1
896,S507,1
901,S508,1
917,S509,1
899,S510,1
904,S511,1
902,S512,1
890,S513,1
908,S514,1
909,S515,1
911,S516,1
919,S517,1
999,S607,1
881,S518,1
880,S519,1
882,S520,1
883,S521,1
910,S522,1
915,S523,1
914,S524,1
884,S525,1
894,S526,1
886,S527,1
887,S528,1
906,S529,1
898,S530,1
900,S531,1
907,S532,1
897,S533,1
905,S534,1
891,S535,1
888,S536,1
885,S537,1
893,S538,1
892,S539,1
913,S540,1
912,S541,1
1019,S601,1
1006,S602,1
1021,S603,1
991,S636,1
992,S604,1
1023,S605,1
998,S606,1
1004,S608,1
1020,S609,1
1002,S610,1
1007,S611,1
1005,S612,1
993,S613,1
1011,S614,1
1012,S615,1
1014,S616,1
1022,S617,1
984,S618,1
983,S619,1
985,S620,1
986,S621,1
1013,S622,1
1018,S623,1
1017,S624,1
987,S625,1
997,S626,1
990,S628,1
1009,S629,1
1001,S630,1
1003,S631,1
1010,S632,1
1000,S633,1
1008,S634,1
994,S635,1
988,S637,1
996,S638,1
995,S639,1
1016,S640,1
1015,S641,1
1133,S701,1
1120,S702,1
1135,S703,1
1106,S704,1
1137,S705,1
1112,S706,1
1113,S707,1
1118,S708,1
1134,S709,1
1116,S710,1
1121,S711,1
1119,S712,1
1107,S713,1
1125,S714,1
1126,S715,1
1128,S716,1
1136,S717,1
1098,S718,1
1097,S719,1
1099,S720,1
1100,S721,1
1127,S722,1
1132,S723,1
1131,S724,1
1101,S725,1
1111,S726,1
1103,S727,1
1104,S728,1
1123,S729,1
1115,S730,1
1117,S731,1
1124,S732,1
1114,S733,1
1122,S734,1
1108,S735,1
1105,S736,1
1102,S737,1
1110,S738,1
1109,S739,1
1130,S740,1
