id,type,room_id,campus_id
4340,roomDoor,1580,1
4341,corridor,-1,1
4342,roomDoor,1580,1
4343,corridor,-1,1
4344,roomDoor,1577,1
4345,corridor,-1,1
4347,corridor,-1,1
4348,corridor,-1,1
4349,stairs,-1,1
4350,corridor,-1,1
4351,roomDoor,1564,1
4352,corridor,-1,1
4353,roomDoor,1568,1
4354,corridor,-1,1
4355,roomDoor,1566,1
4356,corridor,-1,1
4357,roomDoor,1565,1
4358,corridor,-1,1
4361,roomDoor,1563,1
4363,roomDoor,1571,1
4364,corridor,-1,1
4365,roomDoor,1574,1
4366,corridor,-1,1
4367,stairs,-1,1
4368,roomDoor,1574,1
4369,corridor,-1,1
4370,roomDoor,1573,1
4371,roomDoor,1573,1
4372,corridor,-1,1
4373,corridor,-1,1
4374,corridor,-1,1
4376,roomDoor,1575,1
4377,stairs,-1,1
4378,corridor,-1,1
4379,corridor,-1,1
4380,corridor,-1,1
4381,corridor,-1,1
4382,corridor,-1,1
4383,corridor,-1,1
4384,corridor,-1,1
4385,corridor,-1,1
4386,roomDoor,1585,1
4387,corridor,-1,1
4388,stairs,-1,1
4389,corridor,-1,1
4390,corridor,-1,1
4392,roomDoor,1562,1
4393,corridor,-1,1
4394,roomDoor,1587,1
4395,corridor,-1,1
4396,roomDoor,1583,1
4397,corridor,-1,1
4398,roomDoor,1560,1
4399,corridor,-1,1
4400,roomDoor,1557,1
4401,corridor,-1,1
4402,roomDoor,1559,1
4403,corridor,-1,1
4405,corridor,-1,1
4406,corridor,-1,1
4407,stairs,-1,1
4408,corridor,-1,1
4409,roomDoor,1541,1
4410,corridor,-1,1
4411,corridor,-1,1
4412,stairs,-1,1
4413,roomDoor,1540,1
4414,corridor,-1,1
4415,corridor,-1,1
4416,roomDoor,1535,1
4417,corridor,-1,1
4418,roomDoor,1542,1
4420,corridor,-1,1
4421,stairs,-1,1
4422,corridor,-1,1
4423,roomDoor,1536,1
4424,roomDoor,1537,1
4425,corridor,-1,1
4426,roomDoor,1538,1
4427,corridor,-1,1
4428,corridor,-1,1
4429,roomDoor,1534,1
4430,roomDoor,1534,1
4432,roomDoor,1539,1
4433,roomDoor,1539,1
4434,corridor,-1,1
4435,corridor,-1,1
4436,corridor,-1,1
4437,corridor,-1,1
4438,corridor,-1,1
4439,corridor,-1,1
4440,corridor,-1,1
4441,corridor,-1,1
3520,corridor,-1,1
3522,corridor,-1,1
3523,roomDoor,1227,1
3524,roomDoor,1238,1
3525,corridor,-1,1
3526,roomDoor,1236,1
3527,corridor,-1,1
3528,roomDoor,1231,1
3529,corridor,-1,1
3530,roomDoor,1250,1
3531,corridor,-1,1
3532,corridor,-1,1
3533,roomDoor,1241,1
3535,roomDoor,1243,1
3536,corridor,-1,1
3537,roomDoor,1226,1
3538,corridor,-1,1
3539,corridor,-1,1
3540,roomDoor,1224,1
3541,corridor,-1,1
3542,roomDoor,1225,1
3543,roomDoor,1240,1
3545,roomDoor,1289,1
3546,corridor,-1,1
3548,corridor,-1,1
3549,roomDoor,1287,1
3550,corridor,-1,1
3551,stairs,-1,1
3552,corridor,-1,1
3553,stairs,-1,1
3554,corridor,-1,1
3555,roomDoor,1288,1
3556,stairs,-1,1
3557,corridor,-1,1
3558,roomDoor,1267,1
3559,corridor,-1,1
3560,elevator,-1,1
3562,corridor,-1,1
3563,roomDoor,1262,1
3564,corridor,-1,1
3565,roomDoor,1264,1
3566,corridor,-1,1
4442,corridor,-1,1
4443,roomDoor,1552,1
4444,corridor,-1,1
4445,roomDoor,1543,1
4446,corridor,-1,1
4447,stairs,-1,1
4448,corridor,-1,1
4449,roomDoor,1544,1
4451,roomDoor,1547,1
4452,corridor,-1,1
4453,roomDoor,1546,1
4454,corridor,-1,1
4455,roomDoor,1551,1
4456,corridor,-1,1
4459,corridor,-1,1
4461,elevator,-1,1
4462,roomDoor,1549,1
4463,corridor,-1,1
4464,corridor,-1,1
4465,roomDoor,1553,1
4466,corridor,-1,1
4468,corridor,-1,1
4469,corridor,-1,1
4470,roomDoor,1548,1
4471,stairs,-1,1
4472,corridor,-1,1
4473,corridor,-1,1
4474,corridor,-1,1
4475,corridor,-1,1
4476,corridor,-1,1
4477,corridor,-1,1
4478,roomDoor,1555,1
4479,roomDoor,1553,1
2656,corridor,-1,1
2657,corridor,-1,1
2658,elevator,-1,1
3567,roomDoor,1282,1
