id,type,room_id,campus_id
549,roomDoor,188,1
551,roomDoor,172,1
879,roomDoor,336,1
881,roomDoor,344,1
1065,roomDoor,311,1
1067,roomDoor,312,1
1069,roomDoor,315,1
1071,roomDoor,313,1
1382,roomDoor,511,1
1383,roomDoor,498,1
1385,roomDoor,495,1
1387,roomDoor,515,1
1389,roomDoor,496,1
1391,roomDoor,507,1
1397,roomDoor,509,1
1399,roomDoor,506,1
1401,roomDoor,502,1
1402,roomDoor,499,1
1404,roomDoor,523,1
1407,roomDoor,494,1
52,roomDoor,145,1
54,roomDoor,155,1
111,roomDoor,140,1
117,roomDoor,133,1
118,roomDoor,125,1
343,roomDoor,17,1
344,roomDoor,23,1
345,roomDoor,17,1
348,roomDoor,23,1
350,roomDoor,15,1
352,roomDoor,16,1
359,roomDoor,29,1
559,roomDoor,174,1
561,roomDoor,174,1
563,roomDoor,174,1
883,roomDoor,348,1
885,roomDoor,348,1
888,roomDoor,349,1
889,roomDoor,345,1
1075,roomDoor,314,1
1411,roomDoor,521,1
122,roomDoor,136,1
125,roomDoor,135,1
127,roomDoor,131,1
129,roomDoor,129,1
361,roomDoor,24,1
363,roomDoor,29,1
364,roomDoor,25,1
365,roomDoor,25,1
367,roomDoor,26,1
566,roomDoor,174,1
576,roomDoor,181,1
577,roomDoor,179,1
579,roomDoor,182,1
892,roomDoor,345,1
1080,roomDoor,307,1
1083,roomDoor,302,1
1085,roomDoor,301,1
1437,roomDoor,546,1
1440,roomDoor,546,1
1444,roomDoor,552,1
1446,roomDoor,543,1
1450,roomDoor,552,1
1452,roomDoor,551,1
1455,roomDoor,550,1
61,roomDoor,144,1
138,roomDoor,132,1
377,roomDoor,11,1
379,roomDoor,8,1
385,roomDoor,9,1
581,roomDoor,180,1
583,roomDoor,178,1
585,roomDoor,189,1
586,roomDoor,178,1
588,roomDoor,185,1
591,roomDoor,186,1
593,roomDoor,184,1
905,roomDoor,347,1
906,roomDoor,346,1
1087,roomDoor,308,1
1467,roomDoor,548,1
1471,roomDoor,549,1
1473,roomDoor,548,1
1475,roomDoor,547,1
1479,roomDoor,545,1
1490,roomDoor,552,1
1492,roomDoor,552,1
1494,roomDoor,551,1
1497,roomDoor,551,1
65,roomDoor,144,1
143,roomDoor,130,1
148,roomDoor,126,1
150,roomDoor,134,1
153,roomDoor,142,1
387,roomDoor,10,1
393,roomDoor,3,1
599,roomDoor,183,1
600,roomDoor,178,1
605,roomDoor,176,1
607,roomDoor,177,1
609,roomDoor,175,1
908,roomDoor,349,1
915,roomDoor,348,1
1506,roomDoor,551,1
1516,roomDoor,526,1
1517,roomDoor,527,1
1520,roomDoor,540,1
1522,roomDoor,541,1
162,roomDoor,106,1
164,roomDoor,108,1
166,roomDoor,107,1
396,roomDoor,6,1
928,roomDoor,191,1
929,roomDoor,192,1
934,roomDoor,201,1
935,roomDoor,193,1
939,roomDoor,194,1
945,roomDoor,195,1
1527,roomDoor,529,1
1532,roomDoor,530,1
1535,roomDoor,530,1
1537,roomDoor,530,1
1539,roomDoor,530,1
1540,roomDoor,530,1
1541,roomDoor,530,1
1542,roomDoor,530,1
1543,roomDoor,530,1
1550,roomDoor,536,1
1556,roomDoor,533,1
1557,roomDoor,533,1
1558,roomDoor,532,1
171,roomDoor,121,1
173,roomDoor,115,1
174,roomDoor,122,1
176,roomDoor,104,1
177,roomDoor,104,1
398,roomDoor,5,1
400,roomDoor,4,1
402,roomDoor,2,1
949,roomDoor,195,1
951,roomDoor,195,1
952,roomDoor,195,1
953,roomDoor,195,1
954,roomDoor,195,1
955,roomDoor,195,1
963,roomDoor,199,1
967,roomDoor,198,1
969,roomDoor,197,1
972,roomDoor,195,1
973,roomDoor,227,1
1561,roomDoor,530,1
1566,roomDoor,542,1
1568,roomDoor,593,1
1573,roomDoor,592,1
1575,roomDoor,587,1
1577,roomDoor,588,1
1581,roomDoor,590,1
1583,roomDoor,589,1
1585,roomDoor,579,1
1589,roomDoor,582,1
68,roomDoor,155,1
179,roomDoor,104,1
182,roomDoor,104,1
184,roomDoor,109,1
404,roomDoor,76,1
979,roomDoor,239,1
981,roomDoor,226,1
983,roomDoor,240,1
1089,roomDoor,303,1
1091,roomDoor,303,1
1093,roomDoor,309,1
1095,roomDoor,300,1
1096,roomDoor,299,1
1098,roomDoor,310,1
1100,roomDoor,298,1
1102,roomDoor,306,1
1105,roomDoor,310,1
1593,roomDoor,581,1
1595,roomDoor,583,1
1597,roomDoor,599,1
1599,roomDoor,601,1
1601,roomDoor,602,1
1603,roomDoor,585,1
1607,roomDoor,595,1
1609,roomDoor,598,1
1611,roomDoor,586,1
1615,roomDoor,594,1
1620,roomDoor,580,1
1622,roomDoor,400,1
1627,roomDoor,408,1
1631,roomDoor,407,1
70,roomDoor,147,1
408,roomDoor,74,1
1106,roomDoor,298,1
1107,roomDoor,299,1
1108,roomDoor,301,1
1109,roomDoor,302,1
1110,roomDoor,304,1
1111,roomDoor,305,1
1114,roomDoor,305,1
1117,roomDoor,333,1
1119,roomDoor,323,1
1121,roomDoor,332,1
1123,roomDoor,333,1
1124,roomDoor,319,1
1130,roomDoor,332,1
1132,roomDoor,320,1
1634,roomDoor,406,1
1636,roomDoor,409,1
1638,roomDoor,401,1
1642,roomDoor,405,1
1644,roomDoor,404,1
1645,roomDoor,409,1
1646,roomDoor,409,1
1647,roomDoor,406,1
1648,roomDoor,401,1
1652,roomDoor,456,1
1654,roomDoor,450,1
1656,roomDoor,451,1
1658,roomDoor,453,1
1666,roomDoor,442,1
189,roomDoor,104,1
190,roomDoor,123,1
191,roomDoor,104,1
410,roomDoor,69,1
412,roomDoor,70,1
415,roomDoor,69,1
417,roomDoor,71,1
419,roomDoor,66,1
1134,roomDoor,321,1
1140,roomDoor,331,1
1142,roomDoor,322,1
1143,roomDoor,318,1
1147,roomDoor,325,1
1149,roomDoor,326,1
1151,roomDoor,328,1
1153,roomDoor,329,1
1668,roomDoor,443,1
1669,roomDoor,440,1
1672,roomDoor,440,1
1673,roomDoor,439,1
1675,roomDoor,447,1
1677,roomDoor,438,1
1679,roomDoor,444,1
1681,roomDoor,438,1
1683,roomDoor,441,1
1684,roomDoor,442,1
1685,roomDoor,454,1
1686,roomDoor,455,1
1688,roomDoor,455,1
1689,roomDoor,455,1
1980,roomDoor,735,1
1982,roomDoor,733,1
1985,roomDoor,727,1
1987,roomDoor,726,1
214,roomDoor,114,1
215,roomDoor,104,1
216,roomDoor,114,1
670,roomDoor,205,1
703,roomDoor,204,1
704,roomDoor,203,1
706,roomDoor,204,1
708,roomDoor,206,1
712,roomDoor,205,1
719,roomDoor,202,1
720,roomDoor,386,1
722,roomDoor,354,1
724,roomDoor,353,1
1738,roomDoor,475,1
1740,roomDoor,476,1
1742,roomDoor,474,1
1743,roomDoor,477,1
1745,roomDoor,473,1
1749,roomDoor,472,1
1751,roomDoor,478,1
1753,roomDoor,486,1
1756,roomDoor,487,1
1759,roomDoor,488,1
1761,roomDoor,479,1
1762,roomDoor,481,1
1991,roomDoor,750,1
1992,roomDoor,736,1
1994,roomDoor,730,1
1995,roomDoor,724,1
1997,roomDoor,725,1
1999,roomDoor,723,1
226,roomDoor,104,1
726,roomDoor,381,1
730,roomDoor,383,1
732,roomDoor,352,1
734,roomDoor,387,1
738,roomDoor,396,1
740,roomDoor,392,1
742,roomDoor,397,1
746,roomDoor,388,1
748,roomDoor,384,1
750,roomDoor,355,1
1764,roomDoor,489,1
1768,roomDoor,482,1
1770,roomDoor,490,1
1772,roomDoor,483,1
1774,roomDoor,484,1
1776,roomDoor,491,1
1778,roomDoor,485,1
1782,roomDoor,493,1
1784,roomDoor,419,1
1785,roomDoor,420,1
1789,roomDoor,412,1
1790,roomDoor,413,1
1794,roomDoor,421,1
1796,roomDoor,422,1
1802,roomDoor,414,1
1804,roomDoor,416,1
754,roomDoor,366,1
768,roomDoor,375,1
770,roomDoor,379,1
776,roomDoor,377,1
1806,roomDoor,418,1
1812,roomDoor,426,1
1813,roomDoor,419,1
1815,roomDoor,415,1
1816,roomDoor,420,1
1820,roomDoor,420,1
1821,roomDoor,420,1
1824,roomDoor,424,1
1826,roomDoor,425,1
1827,roomDoor,424,1
1828,roomDoor,428,1
1829,roomDoor,425,1
1830,roomDoor,431,1
1831,roomDoor,411,1
1832,roomDoor,427,1
1836,roomDoor,432,1
1839,roomDoor,411,1
1841,roomDoor,411,1
1842,roomDoor,411,1
1843,roomDoor,411,1
1845,roomDoor,425,1
250,roomDoor,105,1
252,roomDoor,93,1
253,roomDoor,92,1
256,roomDoor,92,1
258,roomDoor,92,1
263,roomDoor,99,1
272,roomDoor,85,1
274,roomDoor,86,1
276,roomDoor,81,1
277,roomDoor,82,1
278,roomDoor,83,1
281,roomDoor,98,1
778,roomDoor,371,1
780,roomDoor,370,1
784,roomDoor,372,1
798,roomDoor,398,1
800,roomDoor,363,1
